student_id,roll_number,registration_number,university_id,college_id,department_id,program_name,specialization,gender,date_of_birth,age,category,minority_status,domicile_state,nationality,family_income_range,parent_education_level,parent_occupation,first_generation_learner,scholarship_status,financial_aid_type,10th_percentage,10th_board,12th_percentage,12th_board,12th_stream,entrance_exam_score,entrance_exam_rank,admission_type,gap_years,academic_year,semester,course_code,course_name,course_type,credit_score,course_difficulty_index,faculty_id,total_lectures,lectures_attended,attendance_percentage,attendance_status,lms_login_frequency,avg_session_duration_minutes,assignment_submission_rate,late_submission_count,forum_participation_count,quiz_attempt_rate,assignment_marks_avg,quiz_marks_avg,midterm_marks,internal_assessment_total,internal_rank,improvement_trend,end_sem_marks,practical_marks,theory_marks,total_marks,percentage,grade,grade_point,sgpa,cgpa,pass_fail_status,backlog_count,study_hours_per_day,sleep_hours_avg,mobile_usage_hours,hostel_resident,commute_time_minutes,part_time_job,extracurricular_participation_level,stress_level,motivation_level,time_management_score,learning_style,career_clarity_score,self_efficacy_score,faculty_experience_years,faculty_rating_avg,student_teacher_ratio,class_size,teaching_method,course_feedback_score,library_usage_frequency,lab_access_hours,mentorship_sessions_attended,remedial_classes_attended,placement_training_participation,student_id_2,roll_number_2,department,program,academic_year_2,course_code_2,attendance_percentage_2,internal_marks,external_marks,sgpa_2,gender_2,age_2,study_hours
1,ROLL0001,REG20260001,UNI001,COL001,IT,MCA,Cloud,Female,2003-04-15,23,ST,Yes,UP,Indian,2-5L,10th,Service,Yes,Yes,None,95.39,CBSE,65.62,ICSE,Arts,186,4184,Merit,1,2025-26,5,CS387,DBMS,Elective,5,4.52,FAC006,47,45,88.92,Regular,5,110,85.11,5,13,79.46,76.89,82.13,30,35,52,Upward,43,35,51,78,78.0,C,6.39,8.89,7.57,Fail,3,7.3,5.9,3.7,Yes,46,No,High,Low,Low,10,Auditory,9,4,11,3.98,41,109,Traditional,4.96,1,7,9,0,Yes,1,ROLL0001,MCA,MCA,2025-26,CS135,60.96,35,43,8.89,Female,23,4.9
2,ROLL0002,REG20260002,UNI001,COL001,IT,B.Tech,Cloud,Male,2002-12-03,24,ST,No,Delhi,Indian,2-5L,Graduate,Business,Yes,Yes,None,90.49,CBSE,95.08,ICSE,Science,98,1643,Management,2,2025-26,2,CS347,Data Structures,Core,4,3.76,FAC014,55,44,81.5,Regular,27,31,94.56,3,2,61.46,79.38,92.48,20,34,44,Downward,49,38,42,83,83.0,C,9.49,9.77,7.45,Pass,1,2.6,7.8,2.5,No,7,Yes,High,Low,Medium,10,Auditory,3,8,16,3.29,39,85,Traditional,3.38,6,18,0,0,Yes,2,ROLL0002,CSE,MCA,2025-26,CS415,69.54,34,49,9.77,Female,24,7.4
3,ROLL0003,REG20260003,UNI001,COL001,IT,B.Tech,AI,Male,2003-09-27,23,SC,Yes,Bihar,Indian,10L+,10th,Self-employed,Yes,No,Private,73.24,ICSE,85.08,CBSE,Arts,169,1312,Entrance,0,2025-26,3,CS477,DBMS,Elective,3,4.57,FAC008,41,41,75.82,Regular,17,98,75.19,4,3,62.05,75.14,68.57,25,26,14,Stable,58,34,41,84,84.0,D,7.85,8.34,9.49,Pass,3,8.0,6.9,5.2,Yes,35,No,Medium,High,High,4,Visual,9,7,9,3.52,46,43,Traditional,4.48,7,10,2,0,Yes,3,ROLL0003,CSE,BCA,2025-26,CS179,93.23,26,58,8.34,Male,23,5.9
4,ROLL0004,REG20260004,UNI001,COL001,CSE,MCA,DS,Female,2003-10-06,23,General,Yes,Punjab,Indian,2-5L,Postgraduate,Service,Yes,Yes,Private,75.55,State Board,68.67,State Board,Arts,51,4855,Management,1,2025-26,6,CS311,OS,Core,2,4.2,FAC019,47,42,89.17,Regular,6,65,77.26,3,14,79.71,65.35,58.15,15,25,82,Upward,57,40,56,82,82.0,B,7.59,7.92,6.25,Fail,2,4.0,5.6,5.6,No,42,No,High,High,Medium,5,Kinesthetic,7,3,7,3.16,20,81,Hybrid,3.33,6,19,2,4,Yes,4,ROLL0004,MCA,B.Tech,2025-26,CS171,78.64,25,57,7.92,Female,23,7.8
5,ROLL0005,REG20260005,UNI001,COL001,BCA,BCA,DS,Female,2003-02-11,23,SC,No,UP,Indian,10L+,10th,Business,No,No,Government,76.7,CBSE,83.42,ICSE,Commerce,134,2537,Entrance,0,2025-26,3,CS278,ML,Elective,5,3.19,FAC013,52,60,71.59,Regular,13,22,77.55,0,14,75.52,72.76,91.88,19,32,43,Downward,42,25,50,74,74.0,C,8.64,6.02,8.22,Pass,2,5.2,6.2,5.6,Yes,50,Yes,Medium,High,Low,2,Auditory,5,1,15,3.28,53,53,Traditional,3.68,10,13,7,4,No,5,ROLL0005,MCA,BCA,2025-26,CS255,84.3,32,42,6.02,Male,23,7.1
6,ROLL0006,REG20260006,UNI001,COL001,MCA,B.Tech,Cloud,Female,2003-02-15,23,ST,Yes,Haryana,Indian,2-5L,12th,Self-employed,No,No,Government,94.59,State Board,89.35,ICSE,Science,125,4380,Merit,0,2025-26,2,CS251,Data Structures,Core,3,1.38,FAC001,48,57,77.7,Shortage,30,91,88.69,0,1,99.81,75.53,80.43,22,24,83,Downward,46,20,42,70,70.0,C,9.04,8.11,9.33,Fail,2,7.1,6.6,4.7,Yes,57,Yes,High,Low,Low,5,Auditory,8,2,10,4.05,42,74,Traditional,4.27,4,9,2,0,Yes,6,ROLL0006,MCA,MCA,2025-26,CS246,92.48,24,46,8.11,Male,23,5.4
7,ROLL0007,REG20260007,UNI001,COL001,IT,MCA,AI,Female,2000-03-14,26,General,Yes,Punjab,Indian,5-10L,Postgraduate,Farmer,Yes,No,Private,96.89,CBSE,81.46,State Board,Commerce,157,3493,Management,2,2025-26,3,CS157,Data Structures,Elective,5,2.19,FAC005,40,40,62.42,Regular,22,30,91.9,4,6,60.65,93.13,92.24,29,36,22,Downward,46,26,49,82,82.0,A,6.69,6.05,6.56,Pass,1,3.7,7.1,4.5,Yes,26,Yes,High,Medium,Medium,8,Kinesthetic,9,8,13,4.04,42,83,Traditional,3.25,9,12,1,5,Yes,7,ROLL0007,BCA,BCA,2025-26,CS353,80.81,36,46,6.05,Female,26,2.1
8,ROLL0008,REG20260008,UNI001,COL001,IT,B.Tech,AI,Male,2002-04-22,24,General,No,Haryana,Indian,2-5L,Postgraduate,Self-employed,Yes,Yes,Private,67.81,CBSE,87.96,State Board,Arts,71,3493,Entrance,1,2025-26,4,CS459,Python,Elective,3,1.11,FAC008,58,51,69.19,Shortage,19,72,84.87,0,15,87.2,73.27,91.97,29,20,43,Stable,47,28,51,67,67.0,A,8.32,6.74,9.26,Fail,3,6.1,6.4,2.3,No,13,Yes,High,Medium,Medium,1,Kinesthetic,6,3,11,4.97,30,78,Traditional,4.57,10,10,0,3,Yes,8,ROLL0008,CSE,MCA,2025-26,CS157,66.47,20,47,6.74,Female,24,6.1
9,ROLL0009,REG20260009,UNI001,COL001,ECE,B.Tech,Software Engg,Female,2000-12-24,26,General,Yes,Bihar,Indian,10L+,12th,Farmer,No,No,Private,70.99,CBSE,69.94,State Board,Science,138,3699,Merit,0,2025-26,6,CS457,ML,Elective,3,2.61,FAC005,48,53,81.53,Regular,20,102,75.1,4,7,89.14,53.28,56.12,20,40,6,Upward,40,33,50,80,80.0,B,8.24,9.4,7.33,Fail,3,5.9,7.4,5.0,No,6,Yes,High,High,Low,10,Auditory,4,2,24,3.8,44,113,Traditional,4.95,4,14,2,3,No,9,ROLL0009,MCA,BCA,2025-26,CS320,61.61,40,40,9.4,Female,26,3.7
10,ROLL0010,REG20260010,UNI001,COL001,IT,MCA,DS,Male,2004-09-21,22,SC,No,Haryana,Indian,0-2L,Postgraduate,Business,Yes,No,Private,64.18,ICSE,83.66,State Board,Arts,60,2954,Management,0,2025-26,2,CS124,Data Structures,Elective,2,1.12,FAC017,47,55,74.43,Shortage,16,87,78.07,4,15,96.32,50.23,80.69,16,32,24,Upward,48,35,58,80,80.0,A,8.6,6.66,7.61,Pass,1,6.6,6.6,3.7,Yes,40,Yes,High,High,High,10,Visual,2,8,16,3.57,20,47,Hybrid,3.05,1,7,2,0,Yes,10,ROLL0010,MCA,BCA,2025-26,CS369,85.65,32,48,6.66,Male,22,2.5
